"Player","Role_Type","Mat","Runs","SR","Avg","B_Wkts","B_Econ","TotalValue","optimal_bid","TotalValue_cr","optimal_bid_cr"
"A Ashish Reddy","Batsman",23,280,145.08,18.67,18,9.07,27911214.5951937,2791121.45951937,2.79,0.28
"A Badoni","Batsman",46,962,138.82,27.49,4,8.4,25171745.0685388,2517174.50685388,2.52,0.25
"A Chandila","Batsman",2,4,57.14,2,11,6.21,2e+05,20000,0.02,0
"A Chopra","Batsman",6,53,74.65,10.6,0,9.29654545454545,2e+05,20000,0.02,0
"A Choudhary","Batsman",3,25,125,25,5,8.55,1562822.78970767,156282.278970767,0.16,0.02
"A Dananjaya","Batsman",1,4,80,4,0,11.75,11897115.4161227,1189711.54161227,1.19,0.12
"A Flintoff","Batsman",3,62,116.98,31,2,9.55,2e+05,20000,0.02,0
"A Kamboj","Batsman",6,16,114.29,8,10,9.08,15879422.1344172,1587942.21344172,1.59,0.16
"A Kumble","Bowler",15,35,74.47,17.5,45,6.58,6457576.32627281,645757.632627281,0.65,0.06
"A Manohar","Batsman",20,292,124.26,15.37,0,9.29654545454545,15137586.5901057,1513758.65901057,1.51,0.15
"A Mhatre","Batsman",7,240,188.98,34.29,0,9.29654545454545,19645771.3974963,1964577.13974963,1.96,0.2
"A Mishra","All rounder",55,380,91.13,14.07,174,7.38,95987789.2330357,9598778.92330357,9.6,0.96
"A Mithun","Batsman",6,34,130.77,6.8,7,9.83,23516306.8329645,2351630.68329645,2.35,0.24
"A Mukund","Batsman",2,19,86.36,9.5,0,9.29654545454545,1213490.63116612,121349.063116612,0.12,0.01
"A Nehra","Bowler",17,39,65,6.5,106,7.85,50028020.3628765,5002802.03628765,5,0.5
"A Nortje","Bowler",13,49,100,9.8,61,9.07,38555068.1042756,3855506.81042756,3.86,0.39
"A Raghuvanshi","Batsman",18,463,145.14,28.94,0,9.29654545454545,15206724.2384035,1520672.42384035,1.52,0.15
"A Singh","Bowler",5,2,22.22,0.5,28,7.86,2e+05,20000,0.02,0
"A Symonds","Batsman",36,973,130.6,42.3,20,7.67,17369505.0965664,1736950.50965664,1.74,0.17
"A Tomar","Batsman",1,4,50,4,0,9.29654545454545,2e+05,20000,0.02,0
"A Uniyal","Batsman",2,4,57.14,4,2,11,3054324.76141012,305432.476141012,0.31,0.03
"A Zampa","Bowler",5,15,62.5,3,31,8.38,12302539.3161504,1230253.93161504,1.23,0.12
"AA Bilakhia","Batsman",7,69,82.14,13.8,0,9.29654545454545,2e+05,20000,0.02,0
"AA Chavan","Batsman",3,12,109.09,12,8,7.89,5662623.70025941,566262.370025941,0.57,0.06
"AA Jhunjhunwala","Batsman",15,217,103.83,18.08,1,9.11,4627993.3991475,462799.33991475,0.46,0.05
"AA Kulkarni","Batsman",2,9,112.5,4.5,0,9.29654545454545,13191528.2693636,1319152.82693636,1.32,0.13
"AA Noffke","Batsman",1,9,90,9,1,10,5579981.11767535,557998.111767535,0.56,0.06
"AB Agarkar","Bowler",18,177,117.22,22.12,29,8.83,19072762.088681,1907276.2088681,1.91,0.19
"AB Barath","Batsman",3,42,100,21,0,9.29654545454545,2e+05,20000,0.02,0
"AB Dinda","Bowler",16,26,54.17,2.89,69,8.2,30131720.5430947,3013172.05430947,3.01,0.3
"AB McDonald","Batsman",9,123,123,24.6,11,8.42,6383541.65521687,638354.165521687,0.64,0.06
"AB de Villiers","Batsman",170,5148,151.41,42.2,0,9.29654545454545,118072750.378196,11807275.0378196,11.81,1.18
"AC Blizzard","Batsman",7,120,133.33,17.14,0,9.29654545454545,12547972.6126641,1254797.26126641,1.25,0.13
"AC Gilchrist","Batsman",80,2046,137.96,27.28,1,0,19192904.2308183,1919290.42308183,1.92,0.19
"AC Thomas","Batsman",4,20,105.26,10,14,7.73,8910383.9969614,891038.39969614,0.89,0.09
"AC Voges","Batsman",7,181,126.57,45.25,0,8.44,2e+05,20000,0.02,0
"AD Hales","Batsman",6,147,125.64,24.5,0,9.29654545454545,4985536.91867977,498553.691867977,0.5,0.05
"AD Mascarenhas","Batsman",11,79,101.28,8.78,19,6.94,9916538.9376213,991653.89376213,0.99,0.1
"AD Mathews","All rounder",41,722,126,25.79,27,8.18,28517926.9931469,2851792.69931469,2.85,0.29
"AD Nath","Batsman",10,90,91.84,9,0,9.29654545454545,5031258.70828893,503125.870828893,0.5,0.05
"AD Russell","All rounder",114,2632,174.54,29.57,123,9.51,143546999.377365,14354699.9377365,14.35,1.44
"AF Milne","Batsman",6,23,79.31,5.75,7,9.48,6485618.85466141,648561.885466141,0.65,0.06
"AG Murtaza","Batsman",3,10,71.43,10,9,7.11,2e+05,20000,0.02,0
"AG Paunikar","Batsman",5,48,87.27,9.6,0,9.29654545454545,2112869.9937594,211286.99937594,0.21,0.02
"AJ Finch","Batsman",90,2083,128.11,25.4,1,9.35,51776957.2025481,5177695.72025481,5.18,0.52
"AJ Hosein","Batsman",1,16,160,16,1,10,22497062.7108207,2249706.27108207,2.25,0.22
"AJ Turner","Batsman",6,24,85.71,4.8,0,9.29654545454545,4804973.30075533,480497.330075533,0.48,0.05
"AJ Tye","Bowler",13,91,121.33,11.38,42,8.59,32992089.5002969,3299208.95002969,3.3,0.33
"AK Markram","Batsman",55,1434,135.03,31.17,6,8.79,34780700.7846025,3478070.07846025,3.48,0.35
"AL Menaria","Batsman",23,395,111.58,18.81,3,7.85,7342054.38252199,734205.438252199,0.73,0.07
"AM Nayar","Batsman",50,664,115.88,18.44,9,8.44,20769815.5251606,2076981.55251606,2.08,0.21
"AM Rahane","Batsman",183,5030,125.09,31.64,1,5,100394335.097593,10039433.5097593,10.04,1
"AN Ahmed","Batsman",6,36,138.46,36,12,8.69,1813315.63048992,181331.563048992,0.18,0.02
"AN Ghosh","Batsman",2,7,87.5,3.5,0,9.29654545454545,5987382.64753305,598738.264753305,0.6,0.06
"AP Dole","Batsman",2,34,154.55,17,5,10.18,23239433.7462261,2323943.37462261,2.32,0.23
"AP Majumdar","Batsman",4,87,114.47,21.75,0,9.29654545454545,2166075.46792851,216607.546792851,0.22,0.02
"AP Tare","Batsman",27,339,124.63,14.12,0,9.29654545454545,17349703.8992718,1734970.38992718,1.73,0.17
"AR Bawne","Batsman",1,12,100,12,0,9.29654545454545,3422020.72366105,342202.072366105,0.34,0.03
"AR Patel","All rounder",123,1906,133.75,22.69,128,7.37,113835399.800702,11383539.9800702,11.38,1.14
"AS Joseph","Bowler",5,27,84.38,27,21,9.55,2e+05,20000,0.02,0
"AS Rajpoot","Bowler",7,26,63.41,6.5,24,9.23,9319873.24416726,931987.324416726,0.93,0.09
"AS Raut","Batsman",16,194,116.17,21.56,0,8.8,3623889.7631465,362388.97631465,0.36,0.04
"AS Roy","Batsman",7,26,104,6.5,6,8.17,8589963.47440006,858996.347440006,0.86,0.09
"AS Yadav","Batsman",6,49,125.64,9.8,0,9.29654545454545,14165531.1117721,1416553.11117721,1.42,0.14
"AT Carey","Batsman",3,32,110.34,16,0,9.29654545454545,4049508.02576444,404950.802576444,0.4,0.04
"AT Rayudu","Batsman",185,4325,127.54,29.22,0,9.29654545454545,101109144.918231,10110914.4918231,10.11,1.01
"AU Rashid","Batsman",2,21,140,10.5,2,9.1,17904912.0197967,1790491.20197967,1.79,0.18
"AUK Pathan","Batsman",7,39,169.57,7.8,0,9.69,30848767.6206774,3084876.76206774,3.08,0.31
"Abdul Basith","Batsman",1,1,100,1,0,9.29654545454545,11771634.8880042,1177163.48880042,1.18,0.12
"Abdul Samad","Batsman",51,738,151.54,20.5,2,12.75,43791972.3195335,4379197.23195335,4.38,0.44
"Abdur Razzak","Batsman",1,0,0,0,0,14.5,2e+05,20000,0.02,0
"Abhishek Sharma","Batsman",74,1808,163.18,27.39,11,8.95,58864639.0119926,5886463.90119926,5.89,0.59
"Abishek Porel","Batsman",29,660,150,26.4,0,9.29654545454545,23416635.8596778,2341663.58596778,2.34,0.23
"Akash Deep","Batsman",5,25,178.57,8.33,10,11.83,46061065.8991122,4606106.58991122,4.61,0.46
"Akash Madhwal","Bowler",2,8,57.14,4,24,10.06,11819755.5554765,1181975.55554765,1.18,0.12
"Aman Hakim Khan","Batsman",10,115,110.58,12.78,0,13,21831711.5835445,2183171.15835445,2.18,0.22
"Aniket Verma","Batsman",12,236,166.2,26.22,0,9.29654545454545,18633571.4483737,1863357.14483738,1.86,0.19
"Anirudh Singh","Batsman",4,63,95.45,15.75,0,9.29654545454545,252627.216464099,25262.7216464099,0.03,0
"Ankit Sharma","Batsman",10,87,129.85,12.43,12,7.36,13995133.6922886,1399513.36922886,1.4,0.14
"Ankit Soni","Batsman",3,7,77.78,3.5,2,7.93,2e+05,20000,0.02,0
"Anmolpreet Singh","Batsman",9,139,120.87,15.44,0,9.29654545454545,10372906.6985908,1037290.66985908,1.04,0.1
"Anuj Rawat","Batsman",21,318,119.1,22.71,0,9.29654545454545,8370532.72475518,837053.272475518,0.84,0.08
"Anureet Singh","Batsman",8,36,76.6,9,18,9.07,7938892.30661383,793889.230661383,0.79,0.08
"Arjun Tendulkar","Batsman",1,13,144.44,13,3,9.37,18677934.227891,1867793.4227891,1.87,0.19
"Arshad Khan","Batsman",10,119,141.67,23.8,12,11.47,24273302.598621,2427330.2598621,2.43,0.24
"Arshad Khan (2)","Batsman",1,5,125,5,0,12,26321106.6885562,2632110.66885562,2.63,0.26
"Arshdeep Singh","Bowler",13,31,67.39,5.17,97,9,50822415.5348322,5082241.55348322,5.08,0.51
"Ashutosh Sharma","Batsman",18,386,163.56,27.57,0,9.29654545454545,20300433.8293897,2030043.38293897,2.03,0.2
"Atharva Taide","Batsman",10,260,146.89,28.89,0,24,63444620.010884,6344462.0010884,6.34,0.63
"Avesh Khan","Bowler",12,62,167.57,31,88,9.12,58662828.9771667,5866282.89771667,5.87,0.59
"Azhar Mahmood","All rounder",21,388,128.05,20.42,29,7.82,25249721.6425397,2524972.16425397,2.52,0.25
"Azmatullah Omarzai","Batsman",9,99,133.78,12.38,12,9.69,23881031.6621014,2388103.16621014,2.39,0.24
"B Akhil","Batsman",11,76,138.18,15.2,6,7.72,12216099.2414807,1221609.92414807,1.22,0.12
"B Chipli","Batsman",21,280,112,18.67,0,20,46567036.990946,4656703.6990946,4.66,0.47
"B Indrajith","Batsman",3,21,70,7,0,9.29654545454545,2e+05,20000,0.02,0
"B Kumar","All rounder",71,320,91.43,9.14,198,7.69,112741181.8441,11274118.18441,11.27,1.13
"B Laughlin","Batsman",4,5,38.46,2.5,10,10.07,2e+05,20000,0.02,0
"B Lee","Bowler",19,124,129.17,13.78,25,7.51,21241623.7410691,2124162.37410691,2.12,0.21
